,Case,BL_Speed,RD_Speed,rad,BL_Hdg,RD_Hdg,BL_Alt,RD_Alt,maxRange,minErrorTry,RMax,RNez
975,975,694,680,45,0,74,6194,6530,4.21875,4.39453125,7.3828125,4.21875
976,976,595,539,33,0,12,4565,5971,-1.0,0.703125,-1.0,-1.0
977,977,616,733,32,0,-106,4190,2963,3.515625,3.69140625,25.6640625,3.515625
978,978,725,531,20,0,-77,8860,7853,7.20703125,7.3828125,22.1484375,7.20703125
979,979,661,559,33,0,-78,12269,11072,10.546875,10.72265625,25.48828125,10.546875
980,980,516,631,41,0,-19,13482,14569,9.140625,9.31640625,11.6015625,9.140625
981,981,669,511,20,0,-172,8797,10271,12.48046875,12.65625,31.81640625,12.48046875
982,982,510,743,31,0,-147,7196,7814,5.44921875,5.625,32.34375,5.44921875
983,983,723,675,-31,0,-76,13183,13001,10.546875,10.72265625,18.10546875,10.546875
984,984,496,632,34,0,-145,12799,13870,10.72265625,10.8984375,31.9921875,10.72265625
985,985,586,679,17,0,149,8560,7646,6.15234375,6.328125,30.76171875,6.15234375
986,986,722,560,13,0,54,12140,10859,9.84375,10.01953125,16.34765625,9.84375
987,987,601,589,-41,0,1,3902,4053,2.98828125,3.1640625,4.04296875,2.98828125
988,988,491,577,16,0,104,5382,6526,3.8671875,4.04296875,14.765625,3.8671875
989,989,649,497,4,0,-172,3647,2900,5.44921875,5.625,27.421875,5.44921875
990,990,601,610,51,0,-101,4462,4702,3.33984375,3.515625,24.08203125,3.33984375
991,991,637,727,-41,0,94,3892,4231,3.33984375,3.515625,23.5546875,3.33984375
992,992,549,560,3,0,-50,7478,8566,4.39453125,4.5703125,10.37109375,4.39453125
993,993,592,496,-40,0,171,8264,6822,7.03125,7.20703125,27.7734375,7.03125
994,994,551,583,9,0,-175,6004,5615,6.15234375,6.328125,30.05859375,6.15234375
995,995,565,476,-29,0,-149,9173,10301,9.140625,9.31640625,25.6640625,9.140625
996,996,623,458,-3,0,137,3402,3144,4.74609375,4.921875,23.02734375,4.74609375
997,997,570,509,23,0,59,9546,11036,7.3828125,7.55859375,12.48046875,7.3828125
998,998,531,505,13,0,132,3605,3782,4.21875,4.39453125,19.86328125,4.21875
999,999,687,694,-37,0,7,608,1224,-1.0,0.703125,-1.0,-1.0
